Red,Green,Blue,RewardValue
1,0.8,0.6,1
1,0.744226579520697,0.533333333333333,2
1,0.688453159041394,0.466666666666667,3
1,0.632679738562092,0.4,4
1,0.576906318082789,0.333333333333333,5
1,0.521132897603486,0.266666666666667,6
1,0.465359477124183,0.2,7
1,0.40958605664488,0.133333333333333,8
1,0.353812636165577,0.0666666666666667,9
1,0.298039215686275,0,10
